date,time,action,equity,avail_balance,daily_ret_pct
2026-06-22,2026-06-22T19:25:17,select,1000000.00,0.00,0.0000
2026-06-22,2026-06-22T19:25:39,select,1000000.00,0.00,0.0000
2026-06-22,2026-06-22T19:25:39,execute_skip,1070108.60,177757.40,7.0109
2026-06-22,2026-06-22T19:28:31,select,1070108.60,0.00,0.0000
2026-06-24,2026-06-24T14:58:05,select,1070108.60,0.00,0.0000
2026-06-24,2026-06-24T14:58:09,execute,1031397.95,6814.63,-3.6175
